height,found_at,value,pool_scoring_hashrate_ghps,user_scoring_hashrate_ghps,user_reward
734940,2022-05-05 00:30:04,6.41243871,12753554622.046955,1519052.1872900466,0.00074849
734952,2022-05-05 02:31:10,6.45794402,12909879656.40776,1520719.3018282137,0.00074550
734962,2022-05-05 04:09:42,6.37030194,12959765963.439468,1544560.9346661866,0.00074404
734964,2022-05-05 04:17:31,6.36072998,12962184768.425718,1539811.4443124505,0.00074050
734984,2022-05-05 07:23:50,6.36587746,12989095900.67328,1520013.630657014,0.00073005
735019,2022-05-05 12:23:36,6.33923705,12904065972.011854,1546319.4086625602,0.00074445
735024,2022-05-05 13:18:34,6.34800105,13050359610.957859,1563556.1127253112,0.00074534
735042,2022-05-05 16:16:17,6.48185344,12959559579.844883,1546155.193930737,0.00075786
735049,2022-05-05 17:11:05,6.38079066,12938605571.73655,1527653.382208831,0.00073831
735084,2022-05-05 22:44:53,6.32652208,12698677402.126457,1558519.1824321444,0.00076093
735105,2022-05-06 01:44:14,6.34192646,12832459914.68529,1742493.6759288113,0.00084394
735124,2022-05-06 04:13:18,6.36746182,12947276974.822166,1820053.3719612702,0.00087720
735130,2022-05-06 05:28:33,6.37953261,12912865176.83372,1821898.8951044686,0.00088210
735141,2022-05-06 08:11:51,6.41996987,13073624742.341906,1782829.8486077462,0.00085797
735150,2022-05-06 09:15:07,6.29703361,13028684920.651505,1824859.5369095798,0.00086435
735180,2022-05-06 14:47:32,6.48825509,13024052717.825386,1842614.9890432537,0.00089959
735191,2022-05-06 17:57:02,6.45626816,12838233485.20522,1824238.8772764304,0.00089905
735195,2022-05-06 19:00:13,6.48023395,12814055228.991968,1816061.5168821437,0.00090004
735196,2022-05-06 19:03:23,6.39574933,12806796319.30181,1822849.4816956418,0.00089213
735198,2022-05-06 19:15:20,6.38834087,12785231036.321533,1818444.0465641392,0.00089045
735203,2022-05-06 19:48:46,6.41854587,12720029614.97149,1818680.3787489145,0.00089936
735220,2022-05-06 21:49:57,6.29822605,12539039236.748865,1834845.3341216936,0.00090319
735223,2022-05-06 22:22:54,6.41368072,12553135623.494398,1834615.188542401,0.00091860
735230,2022-05-06 23:18:27,6.29727137,12527196762.789087,1869877.1521322827,0.00092117
735292,2022-05-07 08:31:26,6.30550455,12850534479.248932,1980737.3385863914,0.00095247
735303,2022-05-07 10:32:44,6.30671742,12909486047.408379,1976680.8673157191,0.00094637
735339,2022-05-07 15:44:54,6.28574683,12798256070.692766,1970910.4111739448,0.00094864
735381,2022-05-08 00:26:33,6.40238026,12662728755.825579,1964414.7091559467,0.00097337
735395,2022-05-08 02:39:30,6.38439906,12932079371.68226,1967983.6888746363,0.00095214
735406,2022-05-08 04:01:33,6.29003506,12844904915.387224,1978357.423978103,0.00094940
735462,2022-05-08 12:19:47,6.31325636,12870375779.60753,1990984.449669665,0.00095710
735466,2022-05-08 12:38:28,6.26193134,12919839548.361567,1975823.0380194907,0.00093848
735470,2022-05-08 13:11:03,6.35254337,12981668813.642721,1968796.9498005572,0.00094416
735479,2022-05-08 14:06:54,6.25500126,12903055130.118235,1960415.6655970593,0.00093134
735496,2022-05-08 16:41:49,6.41894985,12774343226.31348,1980179.9658045631,0.00097512
735527,2022-05-08 22:26:57,6.30048415,12437750845.348413,1889855.67860698,0.00093818
735550,2022-05-09 01:21:51,6.26868714,12653504980.32166,2116584.433736455,0.00102761
735565,2022-05-09 03:51:38,6.28316615,12806854902.37705,2138101.0156212747,0.00102799
735573,2022-05-09 06:26:44,6.36922603,12839524341.79367,2132461.8647656236,0.00103668
735583,2022-05-09 07:26:45,6.26217571,12784083386.901165,2112762.034038305,0.00101422
735584,2022-05-09 07:30:45,6.28198962,12786525577.009268,2123042.955627323,0.00102219
735613,2022-05-09 13:12:22,6.45030781,12743523114.472586,2119648.595808745,0.00105143
735618,2022-05-09 13:54:14,6.45736282,12769224528.514479,2118784.31172287,0.00105003
735621,2022-05-09 14:06:10,6.40898216,12699788000.847425,2066123.2950645965,0.00102183
735624,2022-05-09 14:37:07,6.39174293,12565434460.725319,2116625.6187325767,0.00105515
735630,2022-05-09 15:24:05,6.40052828,12557933440.271786,2134830.1373104216,0.00106632
735653,2022-05-09 19:16:52,6.49000551,12481674907.373592,2138647.0201642774,0.00108978
735694,2022-05-10 01:20:34,6.37760243,12644512669.616308,2151830.8683620994,0.00106363
735725,2022-05-10 05:04:17,6.43949847,12951673020.513956,2143540.8528576153,0.00104444
735750,2022-05-10 09:39:03,6.29270061,12714226189.412323,2023849.4827598324,0.00098164
735780,2022-05-10 15:19:06,6.38830657,12790503580.799759,2023918.6576828787,0.00099064
735797,2022-05-10 17:16:10,6.27856973,12752630528.27091,2040717.8595311416,0.00098463
735811,2022-05-10 19:53:17,6.40084344,12392265195.680391,2076098.9315466052,0.00105090
735867,2022-05-11 04:58:43,6.32354504,12776801515.034216,2062813.9100112421,0.00100052
735876,2022-05-11 05:57:55,6.27348533,12875285149.254507,2058247.5969760295,0.00098282
735900,2022-05-11 09:23:42,6.38917556,12773875370.313984,2054867.868983741,0.00100723
735934,2022-05-11 16:32:11,6.56897159,12734819801.152372,2067502.5726086195,0.00104515
735956,2022-05-11 19:52:44,6.44647457,12581745384.078718,1911158.6639308338,0.00095964
735977,2022-05-11 23:10:27,6.40284598,12448648153.300129,1924109.2689592594,0.00096986
735996,2022-05-12 00:22:39,6.38738984,12608424691.15651,1915635.145854627,0.00095105
736000,2022-05-12 01:41:03,6.47251351,12731572861.053066,1915010.7088899196,0.00095409
736043,2022-05-12 09:17:20,6.54733430,12842328470.67975,2133114.536796921,0.00106577
736071,2022-05-12 13:37:36,6.40395612,13006960857.50702,2130814.9671318745,0.00102812
736079,2022-05-12 14:54:14,6.44318424,12787863016.07933,2131972.8853529575,0.00105272
736108,2022-05-12 20:18:17,6.50859871,12339416213.59347,2120137.1844629617,0.00109593
736113,2022-05-12 22:06:50,6.54167335,12437686043.911068,2103321.077153348,0.00108413
736127,2022-05-13 01:07:56,6.46925357,12566400524.906961,2094518.6800438832,0.00105670
736129,2022-05-13 01:24:56,6.48845845,12503774417.575478,2094779.5619303237,0.00106528
736130,2022-05-13 01:27:31,6.40120289,12493105096.389446,2097710.89118564,0.00105332
